,URL,Roaster Location_search,Roaster Latitude,Roaster Longitude
5074,https://www.coffeereview.com/review/kenya-baragwi-guama/,"Utopian Coffee, Fort Wayne, Indiana",41.08129780000001,-85.141235
5075,https://www.coffeereview.com/review/kenya-baragwi-kagongo-peaberry/,"Flight Coffee Co., Bedford, New Hampshire",42.9387628,-71.5257706
5076,https://www.coffeereview.com/review/kenya-baragwi-thimu-peaberry/,"Temple Coffee and Tea, Sacramento, California",38.5781342,-121.4944209
5077,https://www.coffeereview.com/review/kenya-blackberry-honey/,"Bargain Cafe, Taitung, Taiwan",22.768526,121.1412275
5078,https://www.coffeereview.com/review/kenya-boma-aa/,"Topeca Coffee Roasters, Tulsa, Oklahoma",36.1598912,-95.9759772
5079,https://www.coffeereview.com/review/kenya-boma-peaberry/,"Topeca Coffee Roasters, Tulsa, Oklahoma",36.1598912,-95.9759772
5080,https://www.coffeereview.com/review/kenya-bourbon-french-mission/,"Cherry Smile, Taipei, Taiwan",25.0329694,121.5654177
5081,https://www.coffeereview.com/review/kenya-chania-estate/,"Temple Coffee Roasters, Sacramento, California",38.5781342,-121.4944209
5082,https://www.coffeereview.com/review/kenya-chania-northern-italian-roast/,"Terroir Coffee, Acton, Massachusetts",42.4850931,-71.43284
5083,https://www.coffeereview.com/review/kenya-chorongi-peaberry/,"Speckled Ax, Portland, Maine",43.6550815,-70.26238599999999
5084,https://www.coffeereview.com/review/kenya-chui/,"Safari Cup, Chicago, Illinois",41.8824356,-87.7653785
5085,https://www.coffeereview.com/review/kenya-cold-brew/,"Collage Coffee, Grove City, Pennsylvania",41.1590213,-80.0868792
5086,https://www.coffeereview.com/review/kenya-crown-jewel-nyeri-ichamama/,"SkyTop Coffee, Manlius, New York",43.0011909,-75.9814111
5087,https://www.coffeereview.com/review/kenya-decaf/,"Batdorf & Bronson, Olympia, Washington",47.0734121,-122.9764714
5088,https://www.coffeereview.com/review/kenya-echo/,"CofFeeling, Kaohsiung City, Taiwan",22.6272784,120.3014353
5089,https://www.coffeereview.com/review/kenya-embu-gakui-peaberry/,"Giv COFFEE, Torrington, Connecticut",41.8003049,-73.1211715
5090,https://www.coffeereview.com/review/kenya-embu-gicherori-factory-aa-top/,"GK Coffee, Yilan, Taiwan, China",24.6730851,121.7475813
5091,https://www.coffeereview.com/review/kenya-embu-gicherori-pb-washed/,"Coffeebox Coffee, Taipei, Taiwan",25.0257955,121.5382542
5092,https://www.coffeereview.com/review/kenya-embu-uteuzi-jimbo/,"Kakalove Cafe, Chia-Yi, Taiwan",23.4741204,120.4333647
