URL,roast_lv_adj,Agtron_whole,Agtron_ground,Aroma,Acidity_combined,Body,Flavor,Aftertaste
https://www.coffeereview.com/review/100-pure-jamaican-blue-mountain-coffee/,4.0,43.0,54.0,8.0,7.0,8.0,8.0,7.0
https://www.coffeereview.com/review/100-pure-mexican/,2.0,61.0,71.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/100-tanzanian/,4.0,42.0,52.0,7.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/100-waialua-peaberry/,2.0,59.0,68.0,8.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/12680/,1.0,60.0,83.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/12829/,1.0,66.0,85.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/130-blend/,2.0,55.0,79.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/13867/,6.0,0.0,46.0,8.0,8.0,8.0,8.0,7.0
https://www.coffeereview.com/review/14080/,2.0,60.0,80.0,9.0,9.0,9.0,9.0,9.0
https://www.coffeereview.com/review/14440/,1.0,60.0,82.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/1971-nicaragua-viennese-roast/,3.0,49.0,60.0,8.0,7.0,8.0,8.0,8.0
https://www.coffeereview.com/review/19793/,1.0,62.0,80.0,9.0,8.0,8.0,9.0,7.0
https://www.coffeereview.com/review/1994-blend-2/,2.0,56.0,75.0,8.0,8.0,9.0,9.0,7.0
https://www.coffeereview.com/review/1994-blend/,2.0,57.0,74.0,8.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/2007-ethiopia-limited-yirgacheffe-idido-teramal/,2.0,58.0,79.0,8.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/2012-esmeralda-special-natural-panama/,2.0,58.0,81.0,9.0,8.0,8.0,10.0,9.0
https://www.coffeereview.com/review/2019-celebration/,3.0,47.0,67.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/2020-savage-auction-deborah-carbonic-macerated-natural-geisha/,2.0,58.0,74.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/23896/,1.0,65.0,90.0,9.0,9.0,9.0,10.0,9.0
https://www.coffeereview.com/review/24015/,2.0,60.0,76.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/40-hour-ethiopia-girma-eshetu/,2.0,56.0,72.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/414-kenya-sl34/,2.0,57.0,73.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/420-french-roast/,3.0,45.0,65.0,9.0,8.0,9.0,8.0,7.0
https://www.coffeereview.com/review/423-blend/,3.0,48.0,61.0,7.0,8.0,8.0,8.0,7.0
https://www.coffeereview.com/review/44%cb%9an-68%cb%9aw-bar-harbor/,2.0,54.0,70.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/5a-poniente-2/,3.0,48.0,56.0,8.0,7.0,8.0,8.0,7.0
https://www.coffeereview.com/review/5a-poniente-3/,2.0,52.0,76.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/5a-poniente-4/,2.0,56.0,72.0,8.0,8.0,8.0,8.0,7.0
https://www.coffeereview.com/review/5a-poniente-5/,3.0,45.0,71.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/5a-poniente/,4.0,42.0,56.0,7.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/5a-sur-2/,3.0,52.0,64.0,8.0,7.0,8.0,9.0,7.0
https://www.coffeereview.com/review/5a-sur-3/,3.0,50.0,66.0,9.0,8.0,9.0,8.0,7.0
https://www.coffeereview.com/review/5a-sur-4/,2.0,57.0,74.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/5a-sur-5/,3.0,50.0,66.0,9.0,8.0,8.0,9.0,7.0
https://www.coffeereview.com/review/5a-sur/,3.0,50.0,68.0,7.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/704-blend/,3.0,52.0,68.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/9-bar/,2.0,53.0,71.0,8.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/abu-natural-panama-geisha/,2.0,58.0,78.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/acacia-hills-geisha/,2.0,58.0,80.0,9.0,9.0,9.0,10.0,9.0
https://www.coffeereview.com/review/acatenango-pacamara-natural/,2.0,56.0,74.0,8.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/acatenango-santa-felisa-wild-yeast-natural-sudan-rume-full-moon-lot-4/,2.0,60.0,76.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/aces-la-juntas/,1.0,60.0,82.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/adado-shara-ethiopia-washed/,2.0,51.0,74.0,9.0,8.0,9.0,8.0,8.0
https://www.coffeereview.com/review/adame-gorbota-ethiopia/,2.0,54.0,82.0,9.0,9.0,8.0,9.0,9.0
https://www.coffeereview.com/review/adanech-ethiopia-guji/,1.0,58.0,84.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/addis-katema/,1.0,62.0,80.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/ademe-bedane-ethiopia-northern-italian-espresso-roast/,4.0,42.0,52.0,8.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/aeknauli-sumatra/,2.0,57.0,71.0,8.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/african-kitamu/,6.0,0.0,38.0,8.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/african-romance-blend/,2.0,54.0,72.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/african-summer-blend/,3.0,46.0,61.0,8.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/aged-celebes/,4.0,38.0,53.0,8.0,7.0,8.0,8.0,7.0
https://www.coffeereview.com/review/aged-pikos-peaberry/,5.0,33.0,44.0,7.0,7.0,8.0,7.0,9.0
https://www.coffeereview.com/review/aged-sumatra-3/,4.0,42.0,51.0,8.0,7.0,8.0,8.0,7.0
https://www.coffeereview.com/review/aged-sumatra-lintong-vintage-2004/,2.0,55.0,75.0,8.0,7.0,7.0,8.0,9.0
https://www.coffeereview.com/review/aged-sumatra-semiga/,4.0,40.0,50.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/aged-sumatra-ulos-batak-2015/,3.0,45.0,63.0,9.0,8.0,9.0,9.0,9.0
https://www.coffeereview.com/review/aged-sumatra-ulos-batak-peaberry/,2.0,53.0,73.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alaka-ethiopia/,2.0,62.0,78.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alamendah-patuha-coffee/,3.0,50.0,66.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alamid-coffee-kopi-luwak/,3.0,47.0,64.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/alemu-bukato-ethiopia/,2.0,57.0,81.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/alemu-kochere-yirgacheffe/,2.0,58.0,80.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/alishan-natural/,2.0,58.0,74.0,8.0,8.0,9.0,9.0,7.0
https://www.coffeereview.com/review/alishan-taiwan/,2.0,56.0,72.0,8.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/alishan-washed/,3.0,54.0,67.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/all-rise/,2.0,54.0,72.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alma-estate-panama-natural/,3.0,47.0,72.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alma-vieja-10-year-anniversary-blend/,1.0,61.0,84.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/alto-lagunillas-by-wilson-sucaticona/,2.0,58.0,80.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/amaro-gayo-natural-ethiopia/,1.0,58.0,90.0,9.0,9.0,8.0,9.0,9.0
https://www.coffeereview.com/review/amazon-haze/,3.0,46.0,70.0,7.0,7.0,7.0,8.0,7.0
https://www.coffeereview.com/review/amys-blend-2/,3.0,52.0,61.0,9.0,8.0,8.0,8.0,8.0
https://www.coffeereview.com/review/amys-blend/,3.0,55.0,65.0,8.0,7.0,8.0,8.0,7.0
https://www.coffeereview.com/review/andi-sumatra-2/,2.0,58.0,76.0,9.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/andi-sumatra/,2.0,58.0,76.0,8.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/angamaza/,2.0,60.0,78.0,9.0,9.0,9.0,9.0,8.0
https://www.coffeereview.com/review/anniversary-blend-2/,2.0,60.0,74.0,9.0,9.0,8.0,9.0,8.0
https://www.coffeereview.com/review/anniversary-blend-3/,2.0,56.0,73.0,8.0,8.0,9.0,9.0,8.0
https://www.coffeereview.com/review/anniversary-blend/,3.0,50.0,62.0,7.0,7.0,8.0,8.0,8.0
https://www.coffeereview.com/review/apex-blend/,2.0,58.0,83.0,8.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/aponte-colombia/,2.0,55.0,77.0,8.0,8.0,8.0,9.0,7.0
https://www.coffeereview.com/review/arabian-mocha-java-3/,3.0,49.0,61.0,9.0,8.0,8.0,9.0,8.0
https://www.coffeereview.com/review/arabian-mocha-java-dark-roast/,5.0,37.0,40.0,8.0,8.0,8.0,8.0,7.0
